,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
897,CFFI,C&F Financial Corporation - Common Stock,Q,N,N,100.0,N,N
898,CFFN,"Capitol Federal Financial, Inc. - Common Stock",Q,N,N,100.0,N,N
899,CFFS,CF Acquisition Corp. VII - Class A Common Stock,S,N,N,100.0,N,N
900,CFFSU,CF Acquisition Corp. VII - Unit,G,N,N,100.0,N,N
901,CFFSW,CF Acquisition Corp. VII - Warrant,S,N,N,100.0,N,N
902,CFLT,"Confluent, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
903,CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,G,N,N,100.0,Y,N
904,CFSB,"CFSB Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
905,CG,The Carlyle Group Inc. - Common Stock,Q,N,N,100.0,N,N
906,CGABL,The Carlyle Group Inc. - 4.625% Subordinated Notes due 2061,Q,N,N,100.0,N,N
907,CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",Q,N,N,100.0,N,N
908,CGBDL,"Carlyle Secured Lending, Inc. - 8.20% Notes due 2028",G,N,N,100.0,N,N
909,CGC,Canopy Growth Corporation - Common Shares,Q,N,N,100.0,N,N
910,CGEM,"Cullinan Oncology, Inc. - Common Stock",Q,N,N,100.0,N,N
911,CGEN,Compugen Ltd. - Ordinary Shares,S,N,N,100.0,N,N
912,CGNT,Cognyte Software Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
913,CGNX,Cognex Corporation - Common Stock,Q,N,N,100.0,N,N
914,CGO,Calamos Global Total Return Fund - Closed End Fund,Q,N,N,100.0,N,N
915,CGON,"CG Oncology, Inc. - Common stock",Q,N,N,100.0,N,N
916,CGTX,"Cognition Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
917,CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",S,N,N,100.0,N,N
918,CHCO,City Holding Company - Common Stock,Q,N,N,100.0,N,N
919,CHDN,"Churchill Downs, Incorporated - Common Stock",Q,N,N,100.0,N,N
920,CHEF,"The Chefs' Warehouse, Inc. - Common Stock",Q,N,N,100.0,N,N
921,CHEK,Check-Cap Ltd. - Ordinary Share,S,N,N,100.0,N,N
922,CHI,Calamos Convertible Opportunities and Income Fund - Closed End Fund,Q,N,N,100.0,N,N
923,CHK,Chesapeake Energy Corporation - Common Stock,Q,N,N,100.0,N,N
924,CHKEL,Chesapeake Energy Corporation - Class C Warrants,Q,N,N,100.0,N,N
925,CHKEW,Chesapeake Energy Corporation - Class A Warrants,S,N,N,100.0,N,N
926,CHKEZ,Chesapeake Energy Corporation - Class B Warrants,S,N,N,100.0,N,N
927,CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
928,CHMG,Chemung Financial Corp  - Common Stock,Q,N,N,100.0,N,N
929,CHNR,"China Natural Resources, Inc. - Common Shares",S,N,N,100.0,N,N
930,CHPS,Xtrackers Semiconductor Select Equity ETF,G,N,N,100.0,Y,N
931,CHR,"Cheer Holding, Inc.  - Ordinary Share",S,N,N,100.0,N,N
932,CHRD,Chord Energy Corporation - Common Stock,Q,N,N,100.0,N,N
933,CHRS,"Coherus BioSciences, Inc. - Common Stock",G,N,N,100.0,N,N
934,CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N
935,CHSCL,"CHS Inc - Class B Cumulative Redeemable Preferred Stock, Series 4",Q,N,N,100.0,N,N
936,CHSCM,"CHS Inc - Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",Q,N,N,100.0,N,N
937,CHSCN,CHS Inc - Preferred Class B Series 2 Reset Rate,Q,N,N,100.0,N,N
938,CHSCO,CHS Inc - Class B Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N
939,CHSCP,CHS Inc - 8%  Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N
940,CHSN,Chanson International Holding - Class A Ordinary Shares,S,N,N,100.0,N,N
941,CHTR,"Charter Communications, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
942,CHUY,"Chuy's Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
943,CHW,Calamos Global Dynamic Income Fund - Closed End Fund,Q,N,N,100.0,N,N
944,CHX,ChampionX Corporation - Common Stock,Q,N,N,100.0,N,N
945,CHY,Calamos Convertible and High Income Fund - Closed End Fund,Q,N,N,100.0,N,N
946,CIBR,First Trust NASDAQ Cybersecurity ETF,G,N,N,100.0,Y,N
947,CID,VictoryShares International High Div Volatility Wtd ETF,G,N,N,100.0,Y,N
948,CIFR,Cipher Mining Inc. - Common Stock,Q,N,N,100.0,N,N
949,CIFRW,Cipher Mining Inc. - Warrant,Q,N,N,100.0,N,N
950,CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,Q,N,N,100.0,N,N
951,CIL,VictoryShares International Volatility Wtd ETF,G,N,N,100.0,Y,N
952,CINF,Cincinnati Financial Corporation - Common Stock,Q,N,N,100.0,N,N
953,CING,Cingulate Inc. - Common Stock,S,N,D,100.0,N,N
954,CINGW,Cingulate Inc. - Warrants,S,N,D,100.0,N,N
955,CISO,"CISO Global, Inc. - Common Stock",S,N,N,100.0,N,N
956,CISS,C3is Inc. - Common Stock,S,N,D,100.0,N,N
957,CITE,Cartica Acquisition Corp - Class A Ordinary Shares,G,N,D,100.0,N,N
958,CITEU,Cartica Acquisition Corp - Unit,G,N,N,100.0,N,N
959,CITEW,Cartica Acquisition Corp - Warrant,G,N,N,100.0,N,N
960,CIVB,"Civista Bancshares, Inc.  - Common Stock",S,N,N,100.0,N,N
961,CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,G,N,N,100.0,Y,N
962,CJET,"Chijet Motor Company, Inc. - Ordinary Shares",G,N,D,100.0,N,N
963,CJJD,"China Jo-Jo Drugstores, Inc. - Ordinary Shares",S,N,N,100.0,N,N
964,CKPT,"Checkpoint Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
965,CLAR,Clarus Corporation - Common Stock,Q,N,N,100.0,N,N
966,CLBK,"Columbia Financial, Inc. - Common Stock",Q,N,N,100.0,N,N
967,CLBT,Cellebrite DI Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
968,CLBTW,Cellebrite DI Ltd. - Warrants,Q,N,N,100.0,N,N
969,CLDX,"Celldex Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
970,CLEU,China Liberal Education Holdings Limited - Ordinary Shares,S,N,N,100.0,N,N
971,CLFD,"Clearfield, Inc. - Common Stock",G,N,N,100.0,N,N
972,CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,G,N,N,100.0,N,N
973,CLIR,ClearSign Technologies Corporation - Common Stock,S,N,D,100.0,N,N
974,CLLS,Cellectis S.A. - American Depositary Shares,G,N,N,100.0,N,N
975,CLMB,"Climb Global Solutions, Inc. - Common Stock",G,N,N,100.0,N,N
976,CLMT,"Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests",Q,N,N,100.0,N,N
977,CLNE,Clean Energy Fuels Corp. - Common Stock,Q,N,N,100.0,N,N
978,CLNN,Clene Inc. - Common Stock,S,N,D,100.0,N,N
979,CLNNW,Clene Inc. - Warrant,S,N,N,100.0,N,N
980,CLOA,BlackRock AAA CLO ETF,G,N,N,100.0,Y,N
981,CLOD,Themes Cloud Computing ETF,G,N,N,100.0,Y,N
982,CLOE,Clover Leaf Capital Corp. - Class A Common Stock,S,N,D,100.0,N,N
983,CLOER,Clover Leaf Capital Corp. - Rights,S,N,D,100.0,N,N
984,CLOEU,Clover Leaf Capital Corp. - Unit,S,N,D,100.0,N,N
985,CLOU,Global X Cloud Computing ETF,G,N,N,100.0,Y,N
986,CLOV,"Clover Health Investments, Corp.  - Class A Common stock",Q,N,D,100.0,N,N
987,CLPS,CLPS Incorporation - Common Stock,G,N,N,100.0,N,N
988,CLPT,ClearPoint Neuro Inc. - Common Stock,S,N,N,100.0,N,N
989,CLRB,"Cellectar Biosciences, Inc. - Common Stock",S,N,N,100.0,N,N
990,CLRC,ClimateRock - Class A Ordinary Shares,G,N,N,100.0,N,N
991,CLRCR,ClimateRock - Right,G,N,N,100.0,N,N
992,CLRCU,ClimateRock - Unit,G,N,N,100.0,N,N
993,CLRCW,ClimateRock - Warrant,G,N,N,100.0,N,N
994,CLRO,"ClearOne, Inc. - Common Stock",S,N,N,100.0,N,N
995,CLSD,"Clearside Biomedical, Inc. - Common Stock",G,N,N,100.0,N,N
996,CLSK,"CleanSpark, Inc. - Common Stock",S,N,N,100.0,N,N
997,CLSM,Cabana Target Leading Sector Moderate ETF,G,N,N,100.0,Y,N
998,CLST,"Catalyst Bancorp, Inc. - common stock",S,N,N,100.0,N,N
999,CLVR,Clever Leaves Holdings Inc. - Common Shares,S,N,N,100.0,N,N
1000,CLVRW,Clever Leaves Holdings Inc. - Warrant,S,N,N,100.0,N,N
1001,CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,S,N,N,100.0,N,N
1002,CMAX,"CareMax, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
1003,CMAXW,"CareMax, Inc. - Warrant",Q,N,N,100.0,N,N
1004,CMBM,Cambium Networks Corporation - Ordinary Shares,G,N,N,100.0,N,N
1005,CMCA,Capitalworks Emerging Markets Acquisition Corp - Class A Ordinary Shares,G,N,D,100.0,N,N
1006,CMCAU,Capitalworks Emerging Markets Acquisition Corp - Unit,G,N,N,100.0,N,N
1007,CMCAW,Capitalworks Emerging Markets Acquisition Corp - Warrant,G,N,N,100.0,N,N
1008,CMCO,Columbus McKinnon Corporation - Common Stock,Q,N,N,100.0,N,N
1009,CMCSA,Comcast Corporation - Class A Common Stock,Q,N,N,100.0,N,N
1010,CMCT,Creative Media & Community Trust Corporation - Common Stock,G,N,N,100.0,N,N
1011,CME,CME Group Inc. - Class A Common Stock,Q,N,N,100.0,N,N
1012,CMLS,Cumulus Media Inc. - Class A Common Stock,G,N,N,100.0,N,N
1013,CMMB,Chemomab Therapeutics Ltd.  - American Depositary Shares,S,N,D,100.0,N,N
1014,CMND,Clearmind Medicine Inc. - Common Shares,S,N,N,100.0,N,N
1015,CMPO,"CompoSecure, Inc.  - Class A Common Stock",G,N,N,100.0,N,N
1016,CMPOW,"CompoSecure, Inc.  - Warrant",G,N,N,100.0,N,N
1017,CMPR,Cimpress plc - Ordinary Shares,Q,N,N,100.0,N,N
1018,CMPS,COMPASS Pathways Plc - American Depository Shares,Q,N,N,100.0,N,N
1019,CMPX,"Compass Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
1020,CMRX,"Chimerix, Inc. - Common Stock",G,N,N,100.0,N,N
1021,CMTL,Comtech Telecommunications Corp. - Common Stock,Q,N,N,100.0,N,N
1022,CNCR,Range Cancer Therapeutics ETF,G,N,N,100.0,Y,N
1023,CNDT,Conduent Incorporated - Common Stock,Q,N,N,100.0,N,N
1024,CNET,ZW Data Action Technologies Inc. - Common Stock,S,N,D,100.0,N,N
1025,CNEY,CN Energy Group Inc. - Class A Ordinary Shares,S,N,N,100.0,N,N
1026,CNFR,"Conifer Holdings, Inc. - Common Stock",S,N,D,100.0,N,N
1027,CNFRZ,"Conifer Holdings, Inc. - 9.75% Senior Unsecured Notes due 2028",G,N,N,100.0,N,N
1028,CNGL,Canna-Global Acquisition Corp - Class A Common Stock,S,N,N,100.0,N,N
1029,CNGLU,Canna-Global Acquisition Corp - Unit,S,N,N,100.0,N,N
1030,CNGLW,Canna-Global Acquisition Corp - Warrant,S,N,N,100.0,N,N
1031,CNOB,"ConnectOne Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
1032,CNOBP,"ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)",Q,N,N,100.0,N,N
1033,CNSL,"Consolidated Communications Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
1034,CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N
1035,CNTA,Centessa Pharmaceuticals plc - American Depositary Shares,Q,N,N,100.0,N,N
1036,CNTB,Connect Biopharma Holdings Limited - American Depositary Shares,G,N,N,100.0,N,N
1037,CNTG,Centogene N.V. - Common Shares,G,N,D,100.0,N,N
1038,CNTX,Context Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
1039,CNTY,"Century Casinos, Inc. - Common Stock",S,N,N,100.0,N,N
1040,CNVS,Cineverse Corp. - Class A Common Stock,S,N,N,100.0,N,N
1041,CNXC,Concentrix Corporation - Common Stock,Q,N,N,100.0,N,N
1042,CNXN,"PC Connection, Inc. - Common Stock",Q,N,N,100.0,N,N
1043,COCH,"Envoy Medical, Inc. - Class A Common Stock",S,N,N,100.0,N,N
1044,COCHW,"Envoy Medical, Inc. - Warrant",S,N,N,100.0,N,N
1045,COCO,"The Vita Coco Company, Inc. - Common Stock",Q,N,N,100.0,N,N
1046,COCP,"Cocrystal Pharma, Inc. - Common Stock",S,N,N,100.0,N,N
1047,CODA,"Coda Octopus Group, Inc. - Common stock",S,N,N,100.0,N,N
1048,CODX,"Co-Diagnostics, Inc. - Common Stock",S,N,N,100.0,N,N
1049,COEP,"Coeptis Therapeutics Holdings, Inc. - Common Stock",S,N,D,100.0,N,N
1050,COEPW,"Coeptis Therapeutics Holdings, Inc. - Warrants",S,N,N,100.0,N,N
1051,COFS,"ChoiceOne Financial Services, Inc. - Common Stock",S,N,N,100.0,N,N
1052,COGT,"Cogent Biosciences, Inc. - Common Stock",Q,N,N,100.0,N,N
1053,COHU,"Cohu, Inc. - Common Stock",Q,N,N,100.0,N,N
1054,COIN,"Coinbase Global, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
1055,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",Q,N,N,100.0,N,N
1056,COLB,"Columbia Banking System, Inc. - Common Stock",Q,N,N,100.0,N,N
1057,COLL,"Collegium Pharmaceutical, Inc. - Common Stock",Q,N,N,100.0,N,N
1058,COLM,Columbia Sportswear Company - Common Stock,Q,N,N,100.0,N,N
1059,COMM,"CommScope Holding Company, Inc. - Common Stock",Q,N,N,100.0,N,N
1060,COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,G,N,N,100.0,Y,N
1061,CONL,GraniteShares 2x Long COIN Daily ETF,G,N,N,100.0,Y,N
1062,CONN,"Conn's, Inc. - Common Stock",Q,N,N,100.0,N,N
1063,CONX,CONX Corp. - Class A Common Stock,S,N,D,100.0,N,N
1064,CONXU,CONX Corp. - Unit,S,N,D,100.0,N,N
1065,CONXW,CONX Corp. - Warrant,S,N,D,100.0,N,N
1066,COO,"The Cooper Companies, Inc.  - Common Stock",Q,N,N,100.0,N,N
1067,COOL,Corner Growth Acquisition Corp. - Class A Ordinary Shares,S,N,D,100.0,N,N
1068,COOLU,Corner Growth Acquisition Corp. - Unit,S,N,D,100.0,N,N
1069,COOLW,Corner Growth Acquisition Corp. - Warrant,S,N,D,100.0,N,N
1070,COOP,Mr. Cooper Group Inc. - Common Stock,S,N,N,100.0,N,N
1071,COOT,Australian Oilseeds Holdings Limited - Ordinary Shares,G,N,N,100.0,N,N
1072,COOTW,Australian Oilseeds Holdings Limited - Warrant,G,N,N,100.0,N,N
1073,COPJ,Sprott Junior Copper Miners ETF,G,N,N,100.0,Y,N
1074,COPP,Sprott Copper Miners ETF,G,N,N,100.0,Y,N
1075,CORT,Corcept Therapeutics Incorporated - Common Stock,S,N,N,100.0,N,N
1076,CORZ,"Core Scientific, Inc. - Common Stock",Q,N,N,100.0,N,N
1077,CORZW,"Core Scientific, Inc. - Tranche 1 Warrants",Q,N,N,100.0,N,N
1078,CORZZ,"Core Scientific, Inc. - Tranche 2 Warrants",Q,N,N,100.0,N,N
1079,COSM,Cosmos Health Inc. - Common Stock,S,N,D,100.0,N,N
1080,COST,Costco Wholesale Corporation - Common Stock,Q,N,N,100.0,N,N
1081,COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,G,N,N,100.0,Y,N
1082,COWS,Amplify Cash Flow Dividend Leaders ETF,G,N,N,100.0,Y,N
1083,COYA,"Coya Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
1084,CPBI,"Central Plains Bancshares, Inc. - Common Stock",S,N,N,100.0,N,N
1085,CPHC,Canterbury Park Holding Corporation - Common Stock,G,N,N,100.0,N,N
1086,CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0,N,N
1087,CPLP,Capital Product Partners L.P. - Common Units representing limited partner interests,Q,N,N,100.0,N,N
1088,CPLS,AB Core Plus Bond ETF,G,N,N,100.0,Y,N
1089,CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",S,N,N,100.0,N,N
1090,CPRT,"Copart, Inc. - Common Stock",Q,N,N,100.0,N,N
1091,CPRX,"Catalyst Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
1092,CPSH,CPS Technologies Corp. - Common Stock,S,N,N,100.0,N,N
1093,CPSS,"Consumer Portfolio Services, Inc. - Common Stock",G,N,N,100.0,N,N
1094,CPTN,"Cepton, Inc. - Common Stock",S,N,N,100.0,N,N
1095,CPTNW,"Cepton, Inc. - Warrant",S,N,N,100.0,N,N
1096,CPZ,Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund,Q,N,N,100.0,N,N
1097,CRAI,"CRA International,Inc. - Common Stock",Q,N,N,100.0,N,N
1098,CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
1099,CRBU,"Caribou Biosciences, Inc. - Common Stock",Q,N,N,100.0,N,N
1100,CRCT,"Cricut, Inc. - Class A common stock",Q,N,N,100.0,N,N
1101,CRDF,"Cardiff Oncology, Inc. - Common Stock",S,N,N,100.0,N,N
1102,CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,S,N,N,100.0,N,N
1103,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,Q,N,N,100.0,N,N
1104,CREG,Smart Powerr Corp. - Common Stock,S,N,N,100.0,N,N
1105,CRESW,Cresud S.A.C.I.F. y A. - Warrant,S,N,N,100.0,N,N
1106,CRESY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",Q,N,N,100.0,N,N
1107,CREV,Carbon Revolution Public Limited Company - Ordinary Shares,G,N,N,100.0,N,N
1108,CREVW,Carbon Revolution Public Limited Company - Warrant,S,N,N,100.0,N,N
1109,CREX,"Creative Realities, Inc. - Common Stock",S,N,N,100.0,N,N
1110,CRGO,Freightos Limited - Ordinary shares,S,N,N,100.0,N,N
1111,CRGOW,Freightos Limited - Warrants,S,N,N,100.0,N,N
1112,CRGX,"CARGO Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
1113,CRIS,"Curis, Inc. - Common Stock",S,N,N,100.0,N,N
1114,CRKN,Crown Electrokinetics Corp. - Common Stock,S,N,D,100.0,N,N
1115,CRMD,CorMedix Inc. - Common Stock,G,N,N,100.0,N,N
1116,CRML,Critical Metals Corp. - Ordinary Shares,G,N,N,100.0,N,N
1117,CRMLW,Critical Metals Corp. - Warrants,S,N,N,100.0,N,N
1118,CRMT,"America's Car-Mart, Inc. - Common Stock",Q,N,N,100.0,N,N
1119,CRNC,Cerence Inc. - Common Stock,Q,N,N,100.0,N,N
1120,CRNT,Ceragon Networks Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
1121,CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
1122,CRON,Cronos Group Inc. - Common Share,G,N,N,100.0,N,N
1123,CROX,"Crocs, Inc. - Common Stock",Q,N,N,100.0,N,N
1124,CRSP,CRISPR Therapeutics AG - Common Shares,G,N,N,100.0,N,N
1125,CRSR,"Corsair Gaming, Inc. - Common Stock",Q,N,N,100.0,N,N
1126,CRTO,Criteo S.A. - American Depositary Shares,Q,N,N,100.0,N,N
1127,CRUS,"Cirrus Logic, Inc. - Common Stock",Q,N,N,100.0,N,N
1128,CRVL,CorVel Corp. - Common Stock,Q,N,N,100.0,N,N
1129,CRVO,CervoMed Inc. - Common Stock,S,N,N,100.0,N,N
1130,CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
1131,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
1132,CRWS,"Crown Crafts, Inc. - Common Stock",S,N,N,100.0,N,N
1133,CSA,VictoryShares US Small Cap Volatility Wtd ETF,G,N,N,100.0,Y,N
1134,CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,G,N,N,100.0,Y,N
1135,CSBR,"Champions Oncology, Inc. - Common Stock",S,N,N,100.0,N,N
1136,CSCO,"Cisco Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
1137,CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,G,N,N,100.0,Y,N
1138,CSGP,"CoStar Group, Inc. - Common Stock",Q,N,N,100.0,N,N
1139,CSGS,"CSG Systems International, Inc. - Common Stock",Q,N,N,100.0,N,N
1140,CSIQ,Canadian Solar Inc. - Common Shares,Q,N,N,100.0,N,N
1141,CSLM,CSLM Acquisition Corp. - Class A Ordinary Share,S,N,N,100.0,N,N
1142,CSLMR,CSLM Acquisition Corp. - Right,S,N,N,100.0,N,N
1143,CSLMU,CSLM Acquisition Corp. - Unit,S,N,N,100.0,N,N
1144,CSLMW,CSLM Acquisition Corp. - Warrant,S,N,D,100.0,N,N
1145,CSLR,"Complete Solaria, Inc. - Common Stock",G,N,N,100.0,N,N
1146,CSLRW,"Complete Solaria, Inc. - Warrant",S,N,N,100.0,N,N
1147,CSML,IQ U.S. Small Cap ETF,G,N,N,100.0,Y,N
1148,CSPI,CSP Inc. - Common Stock,G,N,N,100.0,N,N
1149,CSQ,Calamos Strategic Total Return Fund - Closed End Fund,Q,N,N,100.0,N,N
1150,CSSE,"Chicken Soup for the Soul Entertainment, Inc. - Class A Common Stock",G,N,D,100.0,N,N
1151,CSSEL,"Chicken Soup for the Soul Entertainment, Inc. - Warrant",G,N,D,100.0,N,N
1152,CSSEN,"Chicken Soup for the Soul Entertainment, Inc. - 9.50% Notes due 2025",G,N,D,100.0,N,N
1153,CSSEP,"Chicken Soup for the Soul Entertainment, Inc. - 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",G,N,D,100.0,N,N
1154,CSTE,Caesarstone Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
1155,CSTL,"Castle Biosciences, Inc. - Common stock",G,N,N,100.0,N,N
1156,CSWC,Capital Southwest Corporation - Common Stock,Q,N,N,100.0,N,N
1157,CSWCZ,Capital Southwest Corporation - 7.75% Notes due 2028,Q,N,N,100.0,N,N
1158,CSWI,"CSW Industrials, Inc. - Common Stock",Q,N,N,100.0,N,N
1159,CSX,CSX Corporation - Common Stock,Q,N,N,100.0,N,N
1160,CTAS,Cintas Corporation - Common Stock,Q,N,N,100.0,N,N
1161,CTBI,"Community Trust Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
1162,CTCX,Carmell Corporation - Common Stock,S,N,N,100.0,N,N
1163,CTCXW,Carmell Corporation - Warrant,S,N,N,100.0,N,N
1164,CTEC,Global X CleanTech ETF,G,N,N,100.0,Y,N
1165,CTHR,Charles & Colvard Ltd. - Common Stock,S,N,D,100.0,N,N
1166,CTKB,"Cytek Biosciences, Inc. - Common Stock",Q,N,N,100.0,N,N
1167,CTLP,"Cantaloupe, Inc. - Common Stock",Q,N,N,100.0,N,N
1168,CTMX,"CytomX Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
1169,CTNM,"Contineum Therapeutics, Inc. - Common stock",Q,N,N,100.0,N,N
1170,CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,S,N,N,100.0,N,N
1171,CTRM,Castor Maritime Inc. - Common Shares,S,N,N,100.0,N,N
1172,CTRN,"Citi Trends, Inc. - Common Stock",Q,N,N,100.0,N,N
1173,CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,Q,N,N,100.0,N,N
1174,CTSO,Cytosorbents Corporation - Common Stock,S,N,N,100.0,N,N
1175,CTXR,"Citius Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N
1176,CUBA,"The Herzfeld Caribbean Basin Fund, Inc. - Closed End Fund",S,N,N,100.0,N,N
1177,CUE,"Cue Biopharma, Inc. - Common Stock",S,N,N,100.0,N,N
1178,CULL,"Cullman Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
1179,CURI,CuriosityStream Inc.  - Class A Common Stock,S,N,D,100.0,N,N
1180,CURIW,CuriosityStream Inc.  - Warrant,S,N,N,100.0,N,N
1181,CUTR,"Cutera, Inc. - Common Stock",Q,N,N,100.0,N,N
1182,CVAC,CureVac N.V. - Ordinary Shares,G,N,N,100.0,N,N
1183,CVBF,CVB Financial Corporation - Common Stock,Q,N,N,100.0,N,N
1184,CVCO,"Cavco Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
1185,CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Q,N,N,100.0,N,N
1186,CVGW,"Calavo Growers, Inc. - Common Stock",Q,N,N,100.0,N,N
1187,CVII,Churchill Capital Corp VII - Class A Common Stock,G,N,D,100.0,N,N
1188,CVIIU,Churchill Capital Corp VII - Unit,G,N,D,100.0,N,N
1189,CVIIW,Churchill Capital Corp VII - Warrant,G,N,D,100.0,N,N
1190,CVKD,"Cadrenal Therapeutics, Inc. - Common Stock",S,N,D,100.0,N,N
1191,CVLG,"Covenant Logistics Group, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
1192,CVLT,"Commvault Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
1193,CVLY,"Codorus Valley Bancorp, Inc - Common Stock",G,N,N,100.0,N,N
1194,CVRX,"CVRx, Inc. - Common Stock",Q,N,N,100.0,N,N
1195,CVV,CVD Equipment Corporation - Common Stock,S,N,N,100.0,N,N
1196,CWBC,Community West Bancshares - Common Stock,S,N,N,100.0,N,N
1197,CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
1198,CWD,CaliberCos Inc. - Class A Common Stock,S,N,N,100.0,N,N
1199,CWST,"Casella Waste Systems, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
1200,CXAI,CXApp Inc. - Class A Common Stock,S,N,N,100.0,N,N
1201,CXAIW,CXApp Inc. - Warrant,S,N,N,100.0,N,N
1202,CXDO,"Crexendo, Inc. - Common Stock",S,N,N,100.0,N,N
1203,CXSE,WisdomTree China ex-State-Owned Enterprises Fund,G,N,N,100.0,Y,N
1204,CYBR,CyberArk Software Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
1205,CYCC,"Cyclacel Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N
1206,CYCCP,"Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock",S,N,D,100.0,N,N
1207,CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
1208,CYN,Cyngn Inc. - Common stock,S,N,D,100.0,N,N
1209,CYRX,"CryoPort, Inc. - Common Stock",S,N,N,100.0,N,N
1210,CYTH,"Cyclo Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
1211,CYTHW,"Cyclo Therapeutics, Inc. - Warrant",S,N,N,100.0,N,N
1212,CYTK,"Cytokinetics, Incorporated - Common Stock",Q,N,N,100.0,N,N
1213,CYTO,Altamira Therapeutics Ltd. - Common Shares,S,N,N,100.0,N,N
1214,CZAR,Themes Natural Monopoly ETF,G,N,N,100.0,Y,N
1215,CZFS,"Citizens Financial Services, Inc. - Common Stock",S,N,N,100.0,N,N
